pac_nome,pac_tensao_kv,conjuntos_usinas,usinas_cadastro,pot_mw,eng_gwh,grafias
OSORIO 2,69.0,2,5,190.0,55.013,SE 230 kV Osório 2  | SE 69 kV Osório 2 
AQUIRAZ 2,69.0,1,3,81.0,53.382,SE Aquiraz II 69 kV 
QUINTA,69.0,2,7,172.0,49.954,"SE 69 kV Quinta  | SE QUINTA 138,0 kV"
SECC. LT AGUA VERMELHA – VOTUPORANGA 2,138.0,1,3,60.0,47.919,SECC. LT 138 KV ÁGUA VERMELHA – VOTUPORANGA 2
JAGUARUANA 2,230.0,1,4,199.8,47.426,SE Jaguaruana II 230 kV
SERRA DAS ALMAS 2,500.0,1,6,171.0,43.728,"SE SERRA DAS ALMAS II 500,0 kV"
IGAPORA 2,69.0,1,2,28.2,39.684,SE 69 kV Igaporã II
DRACENA,138.0,1,4,86.1,38.796,SE 138 kV Dracena 
AQUIBATA,138.0,1,6,129.0,38.004,SE 138 kV Aquibatã 
ICO,230.0,1,4,189.035,37.517,SE Icó 230 kV | SE Icó 230kV
BANABUIU,230.0,1,8,30.0,27.384,"SE BANABUIU 230,0 kV"
CERRO CHATO,230.0,1,11,163.2,26.088,"SE CERRO CHATO 230,0 kV"
LAGOA NOVA 2 ICG,69.0,2,14,96.0,26.071,SE 69 kV Lagoa Nova II - ICG | SE 69 kV Lagoa Nova II - ICG 
TACAIMBO,230.0,1,6,169.83,26.066,SE Tacaimbó 230 KV
SECC. LT AGUA VERMELHA – VOTUPORANGA I,138.0,1,3,30.0,23.959,SECC. LT 138 KV ÁGUA VERMELHA – VOTUPORANGA I
SECC. LT IGAPORA 3 – JANAUBA 3,500.0,1,6,90.0,23.015,SEC. LT 500 KV IGAPORÃ III - JANAÚBA 3
COLETORA CHAPADA 3,230.0,1,8,27.2,22.338,"SE COLETORA CHAPADA III 230,0 kV"
SECC. LT SALGUEIRO – SERRITA,138.0,1,2,60.0,21.93,SECCIONAMENTO LT 138 KV SALGUEIRO-SERRITA
BOM JARDIM DA SERRA,138.0,1,4,93.0,20.351,SE 138 kV Bom Jardim da Serra 
SECC. LD JOAO PINHEIRO 3 – U,138.0,1,7,70.0,20.257,Seccionamento da LD 138 kV João Pinheiro 3 -U
VIAMAO 3,230.0,1,3,59.8,16.091,SE 230 kV Viamão 3
LAGOA NOVA,69.0,2,13,40.0,10.379,SE 69 kV Lagoa Nova 
ATLANTIDA 2,69.0,1,1,31.7,9.133,SE 69 kV Atlântida 2
LIVRAMENTO 2,230.0,1,11,54.0,8.632,SE 230 kV Livramento 2
SECC. LD SAO ROMAO – URUCUIA 1,138.0,1,4,105.0,2.949,SECC LD 138 KV SÃO ROMÃO – URUCUIA 1
RIO BRILHANTE,230.0,1,7,491.0,0.005,SE Rio Brilhante 230 kV
INOCENCIA,230.0,1,8,352.507,0.001,SE Inocência 230 kV
