descricao,tipo,elemento,tensao_kv,classe,categorias,origens,subsistemas,categoria_principal,origem_principal,eng_gwh,usinas,meses,registros
Controle de inequação: LIMITE DE FJUSC EM FUNÇÃO DA POTÊNCIA TRANSMITIDA PELOS BIPOLOS XINGU / ESTREITO E XINGU / TERMINAL RIO - IO-ON.SENE MOP 166-S/2026,Controle de inequação,Bipolos Xingu / Estreito e Xingu / Terminal Rio,,local,confiabilidade,sistemica,SE,confiabilidade,sistemica,0.0133,1,1,1
Controle de geração para o Conjunto Eólico Serra das Almas,outro,,,outro,eletrica,local,SE,eletrica,local,0.0097,1,1,4
Controle de inequação: CONTROLE DE CARREGAMENTO DA TRANSFORMAÇÃO 440/138 kV DA SE TRÊS IRMÃOS - IO-ON.SE.4SP,Controle de inequação,Transformação 440/138 kV da SE Três Irmãos,440.0,local,confiabilidade,local,SE,confiabilidade,local,0.0092,2,2,25
SIPER N° 81/2026,outro,,,outro,eletrica,sistemica,NE,eletrica,sistemica,0.0076,1,1,2
Desligamento da barra 04B2 na SE Morro do Chapéu II do Agente CROP-CHESF,outro,SE Morro do Chapéu II do Agente Crop-chesf,,outro,eletrica,sistemica,NE,eletrica,sistemica,0.0069,1,1,2
Controle de inequação: SUB BOM NOME PE - TR 230 / 138 kV BOM NOME T7 PE (04T7),Controle de inequação,Sub Bom Nome PE - TR 230 / 138 kV Bom Nome T7 PE (04T7),230.0,local,eletrica,local,NE,eletrica,local,0.0065,3,1,3
Controle de inequação: LIMITAÇÃO DA GERAÇÃO: Conjunto Fotovoltaico Janaúba + Conjunto Eólico Serra das Almas II 500kV + Conjunto Fotovoltaico Vista Alegre < 1300 MW,Controle de inequação,,500.0,outro,eletrica,sistemica,SE,eletrica,sistemica,0.006,3,1,8
Evitar sobrecarga em Jales Votuporanga na perda de um dos circuitos. Devido a indisponiblidae de Boa Hora / AGV,outro,,,outro,eletrica,local,SE,eletrica,local,0.0055,1,1,5
"Controle de carregamento: TR-9 ou TR-10 440/138/13,8 kV na SE Três Irmãos",Controle de inequação,TR -9 ou TR-10 440/138/13,,local,eletrica,local,SE,eletrica,local,0.0044,2,1,26
CONTROLE DE CARREGAMENTO DA TRANSFORMAÇÃO 230/138 KV DA SE BOM NOME - IO-ON.NE.2NO,Controle de inequação,Transformação 230/138 kV da SE Bom Nome,230.0,local,confiabilidade,local,NE,confiabilidade,local,0.0041,2,1,12
LT 230 KV Itabira 4 / Itabira 5 para contingência dupla das LT 500 KV Itabira 5 / Vespasiano 2 Controle inequacao LT 500 KV Itabira 5 / Neves 1,outro,LT 230 kV Itabira 4 / Itabira 5,230.0,outro,confiabilidade,sistemica,SE,confiabilidade,sistemica,0.0035,1,1,1
Desligamento automático da LT 230kV 04P1 Senhor Bonfim II / Folha Larga,outro,LT 230kV 04P1 Senhor Bonfim II / Folha Larga,230.0,outro,eletrica,local,NE,eletrica,local,0.0013,1,1,2
Desligamento da LT 138 kV Água Vermelha / Boa Hora C1 e C2,outro,LT 138 kV Água Vermelha / Boa Hora C1 e C2,138.0,outro,eletrica,local,SE,eletrica,local,0.001,1,1,5
Desligamento automático da SE Quixadá,outro,SE Quixadá,,outro,eletrica,local,NE,eletrica,local,0.0006,1,1,1
Desligamento automático SE 500 KV SJP - SIPER n° 7654-25,outro,SE 500 kV SJP - Siper n° 7654-25,500.0,outro,eletrica,local,NE,eletrica,local,0.0001,1,1,3
Controle do inequação: Conjunto Fotovoltaico Jaíba V = 0 MW,outro,,,outro,eletrica,local,SE,eletrica,local,0.0001,1,1,4
Controle de inequação: Conjunto Fotovoltaico Janaúba < 800 MW,Controle de inequação,,,outro,eletrica,local,SE,eletrica,local,0.0,1,1,1
Controle de inequação: LIMITAÇÃO DA GERAÇÃO: Conjunto Fotovoltaico Janaúba + Conjunto Eólico Serra das Almas II 500kV + Conjunto Fotovoltaico Vista Alegre < 1000 MW,Controle de inequação,,500.0,outro,eletrica,sistemica,SE,eletrica,sistemica,0.0,2,1,4
Desligamento automático da LT 500 kV Barreiras II / Gilbués II (05C2),outro,LT 500 kV Barreiras II / Gilbués II (05C2),500.0,outro,eletrica,local,NE,eletrica,local,0.0,1,1,1
Atuação do SEP devido ao fluxo entre as SEs Campina Grande III / Ceará Mirim II > 1100 MW,outro,fluxo entre as SEs Campina Grande III / Ceará Mirim II > 1100 MW,,outro,eletrica,local,NE,eletrica,local,0.0,2,1,2
Controle de inequação: CONTROLE DE CARREGAMENTO DO TRANSFORMADOR TR-9 440/138 KV – 300 MVA PARA CONTINGÊNCIA DO TRANSFORMADOR TR-10 440/138 KV DA SE TRÊS IRMÃOS - IO-ON.SE.4SP,Controle de inequação,Transformador TR-9 440/138 kV – 300 Mva,440.0,local,confiabilidade,local,SE,confiabilidade,local,0.0,1,1,35
Controle de inequação: Conjunto Fotovoltaico Vista Alegre < 450 MW,Controle de inequação,,,outro,eletrica,local,SE,eletrica,local,0.0,1,1,2
Conforme inequações do,outro,,,outro,eletrica,sistemica,SE,eletrica,sistemica,0.0,1,1,14
Controle de inequação: CONTROLE DE CARREGAMENTO DO TRANSFORMADOR TR-9 440/138 KV – 300 MVA PARA CONTINGÊNCIA DO TRANSFORMADOR TR-10 440/138 KV DA SE TRÊS IRMÃOS,Controle de inequação,Transformador TR-9 440/138 kV – 300 Mva,440.0,local,confiabilidade,local,SE,confiabilidade,local,0.0,1,2,19
Controle do inequação: Conjunto Fotovoltaico Jaíba 138KV = 0 MW,outro,,138.0,outro,eletrica,local,SE,eletrica,local,0.0,1,1,4
Controle de inequação: CONTROLE DE CARREGAMENTO DA LT 230 KV IRECÊ / MORRO DO CHAPÉU II – C1(S5) - IO-OC.NE.5NE,Controle de inequação,LT 230 kV Irecê / Morro do Chapéu II,230.0,local,eletrica,local,NE,eletrica,local,0.0,1,1,3
