descricao,tipo,elemento,tensao_kv,classe,categorias,origens,subsistemas,categoria_principal,origem_principal,eng_gwh,usinas,meses,registros
SGIs 63.900 e 63.906-25,outro,,,outro,eletrica,sistemica,SE,eletrica,sistemica,1.0578,1,1,7
Controle de inequação: DESENERGIZAÇÃO DA LT 500 KV RIO DAS ÉGUAS / BARREIRAS II – C1(N2) OU C2(N5) (SISTÊMICO) - IO-PM.NE.5NE,Controle de inequação,LT 500 kV Rio das Éguas / Barreiras II,500.0,local,confiabilidade,local,NE,confiabilidade,local,0.9857,2,1,9
Controle de inequação: CONTROLE DE CARREGAMENTO DA TRANSFORMAÇÃO 500/354 KV DA SE NEVES 1 - IO-ON.SE.5MG,Controle de inequação,Transformação 500/354 kV da SE Neves 1,500.0,local,confiabilidade,local,SE,confiabilidade,local,0.9445,13,1,18
"Controle de inequação: F(JGD-PCT) + 0,52*F(QXA-FZD) < 1100 MW",Controle de inequação,,,outro,eletrica,local,NE,eletrica,local,0.8765,6,1,6
Controle de inequação: CONTROLE DE CARREGAMENTO DA TRANSFORMAÇÃO 230/138 KV DA SE JAÍBA PARA A CONTINGÊNCIA DE UM TRANSFORMADOR 230/138 KV DA SE JAÍBA - IO-ON.SE.5MG,Controle de inequação,Transformação 230/138 kV da SE Jaíba,230.0,local,confiabilidade,local,SE,confiabilidade,local,0.8761,3,4,115
Controle de inequação: LIMITAÇÃO DO FLUXO BAHIA SUDOESTE_P(GOR/BTR) - IO-ON.NE.5NE e MOP489-R,Limitação da transmissão,Fluxo Bahia Sudoeste_p(gor/btr),,local,confiabilidade,local,NE,confiabilidade,local,0.8527,5,1,41
Controle de inequação: F(PIC-SJI) + F(CHP1-CNP) + F(CHP3-CNP) < 238 MW (1.4.1),Controle de inequação,,,outro,eletrica,local,NE,eletrica,local,0.7722,3,1,72
Controle de inequação: LT 500 KV JAGUARUANA II / PACATUBA – C1(L1) - IO-PM.NE.5NE,Controle de inequação,LT 500 kV Jaguaruana II / Pacatuba,500.0,local,confiabilidade,local,NE,confiabilidade,local,0.7339,35,1,39
CONTROLE DE CARREGAMENTO DA TRANSFORMAÇÃO 500/345 KV DA SE NEVES 1 PARA CONTINGÊNCIA DUPLA DAS LT 500 KV ITABIRA 5 / VESPASIANO 2 E LT 500 KV ITABIRA 5 / NEVES 1 - IO-ON.SE.5MG,Controle de inequação,Transformação 500/345 kV da SE Neves 1,500.0,local,confiabilidade,local,SE,confiabilidade,local,0.6692,1,1,5
Conjunto Fotovoltaico Arinos 2 500 kV + Conjunto Fotovoltaico Draco < 1000 MW,outro,,500.0,outro,eletrica,local,SE,eletrica,local,0.6468,1,1,5
Controle de geração: Conjunto UFV Helio Valgas < 300 MW,outro,,,outro,eletrica,local/sistemica,SE,eletrica,sistemica,0.5803,1,1,39
Controle de inequação: CONTROLE DE CARREGAMENTO DA TRANSFORMAÇÃO 500/230 KV DA SE SÃO JOÃO DO PIAUÍ PARA CONTINGÊNCIA DA LT 500 KV CURRAL NOVO DO PIAUÍ II / SÃO JOÃO DO PIAUÍ - C1(C1) - IO-ON.NE.2OE,Controle de inequação,Transformação 500/230 kV da SE São João do Piauí,500.0,local,confiabilidade,local,NE,confiabilidade,local,0.5798,3,1,24
"Controle de inequação: F(USB/SJI C2) + 0,40 F(CNP-SJI) < 1992 MW",Controle de inequação,,,outro,eletrica,local,NE,eletrica,local,0.5026,3,1,21
Controle de Inequação: F(TR-CNP) + F(CHP2-PIC-P1) < 300 MW,Controle de inequação,TR -CNP) + F(CHP2-PIC-P1) < 300 MW,,local,eletrica,local,NE,eletrica,local,0.496,7,1,9
Controle de inequação: F (JCD_69-230) - G (TSN) < 200 MW,Controle de inequação,,,outro,eletrica,local,NE,eletrica,local,0.4936,3,1,36
Controle de inequação: Conjunto Fotovoltaico Sol do Cerrado + Conjunto Fotovoltaico Jaíba V < 135 MW,Controle de inequação,,,outro,eletrica,local,SE,eletrica,local,0.4726,2,1,11
Controle de inequação: Conj Fot Arinos 2 500 kV + Conj Fot Draco < 1300 MW - Conform,Controle de inequação,,500.0,outro,eletrica,local,SE,eletrica,local,0.4462,2,1,24
