mes,pct_ons,fonte_documento
2023-04,0.6,"ONS, apresentacao ""Curtailment: causas, reflexos e solucoes"" (XXXI Simposio Juridico ABCE, out/2025), grafico ""Geracao Nao Realizada (Apurada) Eolica e Fotovoltaica (% do potencial de geracao)""; serie 2023 identica a Fig. 4-3 do RT DGL-ONS 0189/2025"
2023-05,0.5,"ONS, apresentacao ""Curtailment: causas, reflexos e solucoes"" (XXXI Simposio Juridico ABCE, out/2025), grafico ""Geracao Nao Realizada (Apurada) Eolica e Fotovoltaica (% do potencial de geracao)""; serie 2023 identica a Fig. 4-3 do RT DGL-ONS 0189/2025"
2023-06,2.6,"ONS, apresentacao ""Curtailment: causas, reflexos e solucoes"" (XXXI Simposio Juridico ABCE, out/2025), grafico ""Geracao Nao Realizada (Apurada) Eolica e Fotovoltaica (% do potencial de geracao)""; serie 2023 identica a Fig. 4-3 do RT DGL-ONS 0189/2025"
2023-07,1.8,"ONS, apresentacao ""Curtailment: causas, reflexos e solucoes"" (XXXI Simposio Juridico ABCE, out/2025), grafico ""Geracao Nao Realizada (Apurada) Eolica e Fotovoltaica (% do potencial de geracao)""; serie 2023 identica a Fig. 4-3 do RT DGL-ONS 0189/2025"
2023-08,4.2,"ONS, apresentacao ""Curtailment: causas, reflexos e solucoes"" (XXXI Simposio Juridico ABCE, out/2025), grafico ""Geracao Nao Realizada (Apurada) Eolica e Fotovoltaica (% do potencial de geracao)""; serie 2023 identica a Fig. 4-3 do RT DGL-ONS 0189/2025"
2023-09,12.6,"ONS, apresentacao ""Curtailment: causas, reflexos e solucoes"" (XXXI Simposio Juridico ABCE, out/2025), grafico ""Geracao Nao Realizada (Apurada) Eolica e Fotovoltaica (% do potencial de geracao)""; serie 2023 identica a Fig. 4-3 do RT DGL-ONS 0189/2025"
2023-10,5.6,"ONS, apresentacao ""Curtailment: causas, reflexos e solucoes"" (XXXI Simposio Juridico ABCE, out/2025), grafico ""Geracao Nao Realizada (Apurada) Eolica e Fotovoltaica (% do potencial de geracao)""; serie 2023 identica a Fig. 4-3 do RT DGL-ONS 0189/2025"
2023-11,4.2,"ONS, apresentacao ""Curtailment: causas, reflexos e solucoes"" (XXXI Simposio Juridico ABCE, out/2025), grafico ""Geracao Nao Realizada (Apurada) Eolica e Fotovoltaica (% do potencial de geracao)""; serie 2023 identica a Fig. 4-3 do RT DGL-ONS 0189/2025"
2023-12,3.4,"ONS, apresentacao ""Curtailment: causas, reflexos e solucoes"" (XXXI Simposio Juridico ABCE, out/2025), grafico ""Geracao Nao Realizada (Apurada) Eolica e Fotovoltaica (% do potencial de geracao)""; serie 2023 identica a Fig. 4-3 do RT DGL-ONS 0189/2025"
2024-01,0.6,"ONS, apresentacao ""Curtailment: causas, reflexos e solucoes"" (XXXI Simposio Juridico ABCE, out/2025), grafico ""Geracao Nao Realizada (Apurada) Eolica e Fotovoltaica (% do potencial de geracao)""; serie 2023 identica a Fig. 4-3 do RT DGL-ONS 0189/2025"
2024-02,3.1,"ONS, apresentacao ""Curtailment: causas, reflexos e solucoes"" (XXXI Simposio Juridico ABCE, out/2025), grafico ""Geracao Nao Realizada (Apurada) Eolica e Fotovoltaica (% do potencial de geracao)""; serie 2023 identica a Fig. 4-3 do RT DGL-ONS 0189/2025"
2024-03,2.1,"ONS, apresentacao ""Curtailment: causas, reflexos e solucoes"" (XXXI Simposio Juridico ABCE, out/2025), grafico ""Geracao Nao Realizada (Apurada) Eolica e Fotovoltaica (% do potencial de geracao)""; serie 2023 identica a Fig. 4-3 do RT DGL-ONS 0189/2025"
2024-04,1.9,"ONS, apresentacao ""Curtailment: causas, reflexos e solucoes"" (XXXI Simposio Juridico ABCE, out/2025), grafico ""Geracao Nao Realizada (Apurada) Eolica e Fotovoltaica (% do potencial de geracao)""; serie 2023 identica a Fig. 4-3 do RT DGL-ONS 0189/2025"
2024-05,5.0,"ONS, apresentacao ""Curtailment: causas, reflexos e solucoes"" (XXXI Simposio Juridico ABCE, out/2025), grafico ""Geracao Nao Realizada (Apurada) Eolica e Fotovoltaica (% do potencial de geracao)""; serie 2023 identica a Fig. 4-3 do RT DGL-ONS 0189/2025"
2024-06,8.6,"ONS, apresentacao ""Curtailment: causas, reflexos e solucoes"" (XXXI Simposio Juridico ABCE, out/2025), grafico ""Geracao Nao Realizada (Apurada) Eolica e Fotovoltaica (% do potencial de geracao)""; serie 2023 identica a Fig. 4-3 do RT DGL-ONS 0189/2025"
