sigla,uf,barramento,pac_chave,pacs_considerados,resultado,fator_limitante,n_usinas,eng_gwh,eng_energetica_gwh,eng_confiabilidade_gwh,eng_eletrica_gwh,energia_gerada_gwh,taxa_corte,frac_rede_exportacao,top3_descricoes,coincidencia,condicao
ACD,RN,Açu II,ACU 2,ACU 2,AD,Não foram encontradas violações na região em análise para o valor cadastrado.,5,666.8599,329.5259,320.7475,16.5865,1244.8113,0.3488,0.2972,Controle de inequação: LIMITAÇÃO DA TRANSMISSÃO NAS LTS 500 KV AÇU III (101 GWh) | Controle de inequação: LIMITAÇÃO DA TRANSMISSÃO NA LT 500 KV AÇU III / (50 GWh) | Controle de inequação: CONTROLE DE CARREGAMENTO DA TRANSFORMAÇÃO 500/3 (49 GWh),False,
SPA2,RS,Santa Vitória do Palmar 2,SANTA VITORIA DO PALMAR 2,SANTA VITORIA DO PALMAR 2,AD,Não foram encontradas violações na região em análise para o valor cadastrado.,1,298.304,123.5986,0.0249,174.6805,2402.4622,0.1105,0.0001,Desligamento das LT 525 kV Povo Novo / Marmeleiro C2 (175 GWh) | Desligamento da LT 525 kV Povo Novo / Marmeleiro 2 C2 (0 GWh) | Controle de inequação: CONTROLE DE CARREGAMENTO NA TRANSFORMAÇÃO 500/3 (0 GWh),False,
BDD,BA,Brumado II,BRUMADO 2,BRUMADO 2,INAB,Incapacidade de acréscimo de nova geração devido a violação dos limites de intercâmbio ou ,1,136.9755,68.2707,27.624,41.0807,444.1904,0.2357,0.9826,Controle do fluxo: FNESE # Fluxo Nordeste/Sudeste (14 GWh) | Controle de inequação: CONTROLE DE CARREGAMENTO DA TRANSFORMAÇÃO 500/3 (11 GWh) | Controle do fluxo: FPOTPPA # LT 500kV Poções III/Padre Paraíso (2 GWh),True,A: INAB e ENG de rede majoritaria em intercâmbio/corredor de exportação
MCL2_IRAE,MG,Montes Claros 2 - Irapé C1,MONTES CLAROS 2,MONTES CLAROS 2; SECC. LD JANAUBA 3 – MONTES CLAROS 2,INAB,Colapso de tensão após contingências simples na rede de 500 kV da malha Goiás Minas Gerais,1,87.8403,62.9029,16.1794,8.758,263.3695,0.2501,0.668,Controle de inequação: LIMITE DE FJUSC EM FUNÇÃO DA POTÊNCIA TRANSMITI (4 GWh) | Controle de inequação: LIMITE DE FJUSC EM FUNÇÃO DA POTÊNCIA TRANSMITI (2 GWh) | Controle de inequação: CONTROLE DE CARREGAMENTO DA TRANSFORMAÇÃO 500/3 (1 GWh),False,
GET,SP,Getulina,GETULINA,GETULINA,ADVC,Não foram encontradas violações na região em análise para o valor cadastrado. Configuração,1,86.3152,84.9408,0.0087,1.3658,354.5067,0.1958,0.0891,Controle de inequação: Perda da LT 345 kV Campos / Rio Novo do Sul C1 (0 GWh) | Controle do fluxo: FPOTPPA # LT 500kV Poções III/Padre Paraíso (0 GWh) | Controle de inequação: CONTROLE DE CARREGAMENTO DA LT 138 KV JALES / B (0 GWh),False,
LIV3,RS,Livramento 3,LIVRAMENTO 3,LIVRAMENTO 3,PC,"Sobrecarga na LT 230 kV Bagé 2 Livramento 2, em condição normal de operação, na carga máxi",1,62.4828,62.4586,0.0243,0.0,1227.6048,0.0484,1.0,Controle de inequação: CONTROLE DE CARREGAMENTO NA TRANSFORMAÇÃO 500/3 (0 GWh),False,
SDA2,MG,Serra das Almas II,SERRA DAS ALMAS 2,SERRA DAS ALMAS 2,INAB,Colapso de tensão após contingências simples na rede de 500 kV da malha Goiás Minas Gerais,1,43.7281,37.4535,1.9859,4.2887,793.9143,0.0522,0.7859,Controle de inequação: LIMITE DE FJUSC EM FUNÇÃO DA POTÊNCIA TRANSMITI (3 GWh) | Controle de inequação: LIMITE DE FJUSC EM FUNÇÃO DA POTÊNCIA TRANSMITI (1 GWh) | Controle de Inequação: Conjunto Fotovoltaico Janaúba + Conjunto Fotovo (0 GWh),False,
PLO,BA,Polo,,,AD,Não foram encontradas violações na região em análise para o valor cadastrado.,0,0.0,0.0,0.0,0.0,0.0,,,,False,
CMQ,BA,Camaçari IV,,,AD,Não foram encontradas violações na região em análise para o valor cadastrado.,0,0.0,0.0,0.0,0.0,0.0,,,,False,
IMB,MS,Imbirussú,,,AD,Não foram encontradas violações na região em análise para o valor cadastrado.,0,0.0,0.0,0.0,0.0,0.0,,,,False,
GRL,PR,Gralha Azul,,,AD,"Sobrecarga na LT 230 kV Gralha Azul - Umbará, em regime normal de operação, na carga máxim",0,0.0,0.0,0.0,0.0,0.0,,,,False,
ARE,PR,Areia,,,AD,Não foram encontradas violações na região em análise para o valor cadastrado.,0,0.0,0.0,0.0,0.0,0.0,,,,False,
RLD,AL,Rio Largo II,,,AD,Não foram encontradas violações na região em análise para o valor cadastrado.,0,0.0,0.0,0.0,0.0,0.0,,,,False,
SSSE,MG,São Simão,,,AD,Não foram encontradas violações na região em análise para o valor cadastrado.,0,0.0,0.0,0.0,0.0,0.0,,,,False,
SUD,PE,Suape II,,,AD,Não foram encontradas violações na região em análise para o valor cadastrado.,0,0.0,0.0,0.0,0.0,0.0,,,,False,
STBD,GO,Bandeirantes,BANDEIRANTES,BANDEIRANTES,INAB,Sobrecarga na LT 230 kV C. Dourada - Itumbiara em regime normal de operação.,0,0.0,0.0,0.0,0.0,0.0,,,,False,
ALE2,RS,Alegrete 2,ALEGRETE 2,ALEGRETE 2,PC,"Sobrecarga na LT 230 kV Alegrete 2 Maçambará, na contingência da LT 230 kV Maçambará UTE U",0,0.0,0.0,0.0,0.0,0.0,,,,False,
ITB,SE,Itabaiana,ITABAIANA,ITABAIANA,INAB,Incapacidade de acréscimo de nova geração devido a violação dos limites de intercâmbio ou ,0,0.0,0.0,0.0,0.0,0.0,,,,False,
PBT,PI,Parnaíba III,PARNAIBA 3,PARNAIBA 3,INAB,Incapacidade de acréscimo de nova geração devido a violação dos limites de intercâmbio ou ,0,0.0,0.0,0.0,0.0,0.0,,,,False,
ULG,PE,Luiz Gonzaga,LUIZ GONZAGA,LUIZ GONZAGA,INAB,Incapacidade de acréscimo de nova geração devido a violação dos limites de intercâmbio ou ,0,0.0,0.0,0.0,0.0,0.0,,,,False,
ICA,BA,Ibicoara,IBICOARA,IBICOARA,INAB,Incapacidade de acréscimo de nova geração devido a violação dos limites de intercâmbio ou ,0,0.0,0.0,0.0,0.0,0.0,,,,False,
CAF-II BRR-II,BA,Campo Formoso II Barra II C1,,,INAB,Incapacidade de acréscimo de nova geração devido a violação dos limites de intercâmbio ou ,0,0.0,0.0,0.0,0.0,0.0,,,,False,
CAF-II,BA,Campo Formoso II,CAMPO FORMOSO 2,CAMPO FORMOSO 2,INAB,Incapacidade de acréscimo de nova geração devido a violação dos limites de intercâmbio ou ,0,0.0,0.0,0.0,0.0,0.0,,,,False,
CRT,BA,Correntina,CORRENTINA,CORRENTINA,INAB,Incapacidade de acréscimo de nova geração devido a violação dos limites de intercâmbio ou ,0,0.0,0.0,0.0,0.0,0.0,,,,False,
LGO,RJ,Lagos,LAGOS,LAGOS,AD,Não foram encontradas violações na região em análise para o valor cadastrado.,0,0.0,0.0,0.0,0.0,0.0,,,,False,
SGD,PR,Segredo,,,AD,Não foram encontradas violações na região em análise para o valor cadastrado.,0,0.0,0.0,0.0,0.0,0.0,,,,False,
