uf,barramento,sigla,tensao_kv,must_2027,must_2028,must_2029,must_2030,must_2031,cap_rem_2031_barramento,cap_rem_2031_subarea,cap_rem_2031_area,resultado,fator_limitante,elementos_citados,lrcap,produto_ref
RS,Alegrete 2,ALE2,230,0.0,0.0,185.25,185.25,185.25,100.0,100.0,100.0,PC,"Sobrecarga na LT 230 kV Alegrete 2 Maçambará, na contingência da LT 230 kV Maçambará UTE Uruguaiana, na carga máxima noturna de inverno. Sobrecarga na LT 230 kV Alegrete 2 Maçambará, na contingência da LT 230 kV Maçambará UTE Uruguaiana, na carga máxima noturna de inverno.",LT 230 kV Alegrete 2 Maçambará; LT 230 kV Maçambará UTE Uruguaiana,False,2031
RS,Livramento 3,LIV3,230,0.0,0.0,807.5,807.5,807.5,360.0,,,PC,"Sobrecarga na LT 230 kV Bagé 2 Livramento 2, em condição normal de operação, na carga máxima noturna de inverno.",LT 230 kV Bagé 2 Livramento 2,False,2031
RS,Santa Vitória do Palmar 2,SPA2,525,0.0,0.0,616.0,616.0,616.0,616.0,616.0,616.0,AD,Não foram encontradas violações na região em análise para o valor cadastrado.,,False,2031
MG,São Simão,SSSE,500,0.0,0.0,0.0,308.561,308.561,308.561,308.561,308.561,AD,Não foram encontradas violações na região em análise para o valor cadastrado.,,True,2031
AL,Rio Largo II,RLD,230,0.0,315.618,364.538,364.538,364.538,364.538,364.538,364.538,AD,Não foram encontradas violações na região em análise para o valor cadastrado.,,True,2031
BA,Camaçari IV,CMQ,230,0.0,0.0,18.31,18.31,18.31,18.31,18.31,18.31,AD,Não foram encontradas violações na região em análise para o valor cadastrado.,,True,2031
BA,Polo,PLO,230,0.0,79.024,79.024,79.024,79.024,79.024,79.024,79.024,AD,Não foram encontradas violações na região em análise para o valor cadastrado.,,True,2031
PE,Suape II,SUD,230,0.0,0.0,120.724,120.724,120.724,120.724,120.724,120.724,AD,Não foram encontradas violações na região em análise para o valor cadastrado.,,True,2031
RN,Açu II,ACD,230,0.0,0.0,0.0,0.0,50.0,50.0,50.0,50.0,AD,Não foram encontradas violações na região em análise para o valor cadastrado.,,True,2031
MS,Imbirussú,IMB,230,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,AD,Não foram encontradas violações na região em análise para o valor cadastrado.,,True,2031
PR,Gralha Azul,GRL,230,0.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,AD,"Sobrecarga na LT 230 kV Gralha Azul - Umbará, em regime normal de operação, na carga máxima noturna de verão.",LT 230 kV Gralha Azul - Umbará,True,2031
PR,Areia,ARE,525,0.0,0.0,0.0,860.0,860.0,860.0,860.0,860.0,AD,Não foram encontradas violações na região em análise para o valor cadastrado.,,True,2031
PR,Segredo,SGD,525,0.0,0.0,0.0,1266.0,1266.0,1266.0,1266.0,1266.0,AD,Não foram encontradas violações na região em análise para o valor cadastrado.,,True,2031
